date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1403011812,FWS.LWX.20140301.ROCKS.02.20140301.181235.1646648970,7,-128,28,8.33333333333,28,3.57632,3.0,8.88888888889,25.0,4.9180888464,8.45327148438,26.7903298318,1.79032983182,4.11967,-1.20967016818,10.3697143555,21.374795462,3.90764,6.62520453801,38.17011,-78.80003,CROV2
1403010904,FWS.LWX.20140301.ROCKS.01.20140301.090438.3498853319,7,-128,9,9.44444444444,26,3.12928,1.0,8.88888888889,25.0,4.9180888464,8.45327148438,26.7903298318,1.79032983182,4.11967,0.790329831816,10.3697143555,21.374795462,3.90764,4.62520453801,38.17011,-78.80003,CROV2
1312221241,FWS.LWX.20131222.FRIDL.01.20131222.124126.55138620,44,-97,12,21.1111111111,68,9.38784,-6.0,16.6666666667,74.0,4.4705221836,20.4251037598,68.6635826912,-5.33641730881,11.9759,0.663582691193,,,,,38.49139,-78.69361,CROV2
1311250933,FWS.LWX.20131125.SOUTH.01.20131125.093347.2026072851,6,-160,7,3.88888888889,27,4.02336,8.0,5.0,19.0,3.1278221952,2.58080444336,26.5126002239,7.51260022387,5.05392,-0.487399776126,3.44423828125,24.8867461055,3.22541,2.11325389447,38.78833,-78.42944,FVRV2
1311240924,FWS.LWX.20131124.SOUTH.01.20131124.092406.3629324605,6,-160,43,-1.11111111111,30,7.59968,3.0,-2.22222222222,27.0,6.2607888348,-2.64938964844,32.0174704451,5.01747044507,9.72097,2.01747044507,-1.90433349609,29.1753766842,3.1002,0.824623315826,38.78833,-78.42944,FVRV2
1311230913,FWS.LWX.20131123.SOUTH.01.20131123.091330.2704519021,6,-160,22,8.88888888889,38,5.81152,11.0,9.44444444444,27.0,4.0229555208,7.63561401367,40.9531311376,13.9531311376,7.93639,2.95313113758,8.93346557617,30.9391065342,3.9763,7.06089346576,38.78833,-78.42944,FVRV2
1311231718,FWS.LWX.20131123.SMOKE.01.20131123.171804.337211156,7,-257,5,4.44444444444,47,5.36448,9.0,5.55555555556,38.0,5.3656555092,5.40297851563,44.9244826926,6.92448269259,8.20347,-2.07551730741,4.39400634766,61.8918264849,8.30759,-14.8918264849,38.88333,-79.28333,UPTW2
1311221110,FWS.LWX.20131122.SOUTH.01.20131122.111001.1511191120,6,-160,15,16.1111111111,75,2.68224,15.0,18.8888888889,60.0,3.1278221952,15.2001586914,72.0810822624,12.0810822624,3.88247,-2.91891773758,18.0228210449,55.8386456944,4.10323,19.1613543056,38.78833,-78.42944,FVRV2
1311221447,FWS.LWX.20131122.SMOKE.01.20131122.144741.1145572148,7,-257,11,16.1111111111,64,3.57632,6.0,17.2222222222,58.0,4.0229555208,14.7238098145,69.4315886971,11.4315886971,4.10803,5.43158869711,14.3127990723,76.0750208603,2.98702,-12.0750208603,38.88333,-79.28333,UPTW2
1311211148,FWS.LWX.20131121.SOUTH.01.20131121.114855.1882928899,6,-160,26,10.0,65,2.68224,7.0,11.1111111111,58.0,1.7902666512,9.01452026367,63.4949502926,5.49495029257,3.6,-1.50504970743,10.8533874512,68.7725146606,1.72102,-3.77251466059,38.78833,-78.42944,FVRV2
1311201144,FWS.LWX.20131120.SOUTH.01.20131120.114423.411996287,6,-160,5,8.33333333333,32,2.68224,-0.0,8.88888888889,32.0,1.7902666512,6.74456176758,34.377659912,2.37765991202,3.1,2.37765991202,7.1124206543,33.4767546353,1.97349,-1.47675463528,38.78833,-78.42944,FVRV2
