date,file,distance,elev,leadtime,spott,spotrh,spotwmax,spotrherr,obt,obrh,obwmax,ndfdt,ndfdrh,ndfdrherr,ndfdwmax,ndfdspotrh,rtmat,rtmarh,rtmawmax,rtmarherr,lat,lon,stnused
1404091712,FWS.OTX.20140409.LAWSO.01.20140409.171247.936642041,26,-139,33,15.0,29,3.57632,10.0,12.7777777778,19.0,3.1278221952,17.1409240723,19.5785077026,0.578507702555,4.56817,-9.42149229745,16.5595031738,23.4439930412,4.2797,5.55600695883,48.17,-118.20889,MDRW1
1404081558,FWS.OTX.20140408.LAWSO.01.20140408.155859.1952397063,26,-139,11,22.7777777778,24,4.4704,-3.0,19.4444444444,27.0,4.9180888464,21.5893188477,24.3739026166,-2.62609738338,6.7,0.373902616616,21.4911743164,30.2344421148,4.94813,-6.2344421148,48.17,-118.20889,MDRW1
1404071826,FWS.FGZ.20140407.LION_.01.20140407.182636.1452533831,1,158,19,18.3333333333,10,4.4704,-0.0,17.7777777778,10.0,3.575388858,18.3100219727,11.648788858,1.64878885798,3.87635,1.64878885798,16.8935180664,11.5892182764,7.10375,-1.58921827643,33.68208,-109.72,QLMA3
1404061725,FWS.FGZ.20140406.LION_.01.20140406.172503.2501931011,1,103,15,13.3333333333,16,4.4704,-2.0,12.7777777778,18.0,3.1278221952,14.4912658691,16.7605026263,-1.23949737366,6.91843,0.760502626343,11.6559997559,14.8501679018,6.62434,1.14983209823,33.68,-109.7075,QLMA3
1404011757,FWS.FGZ.20140401.SECRE.01.20140401.175738.1318254194,28,155,24,10.5555555556,22,9.83488,7.05,10.6,14.95,16.46222208,15.307824707,20.2150960823,5.2650960823,10.3327,-1.7849039177,12.9764648438,14.1401347312,8.03385,7.85986526878,34.95611,-111.89556,KFLG
1403311808,FWS.FGZ.20140331.BOULD.01.20140331.180819.3319344856,13,-303,30,10.0,20,8.9408,4.0,11.6666666667,16.0,7.150777716,13.3327270508,14.2921038714,-1.70789612861,12.9078,-5.70789612861,11.1561523438,15.7793113488,10.0168,4.22068865124,35.23334,-111.58342,QFLA3
1403311555,FWS.FGZ.20140331.SECRE.01.20140331.155519.646307901,28,155,60,13.3333333333,15,2.2352,-0.22,12.2,15.22,11.83222212,18.6078125,11.0652955649,-4.15470443511,11.2479,-3.93470443511,15.2644592285,13.8937171431,7.36763,1.1062828569,34.95611,-111.89556,KFLG
1403301354,FWS.FGZ.20140330.SECRE.01.20140330.135414.4070932777,28,155,24,15.5555555556,15,20.1168,-0.73,13.3,15.73,20.06333316,19.9362426758,16.4376334149,0.707633414906,11.523,1.43763341491,15.2846313477,16.2626307406,10.5426,-1.26263074059,34.95611,-111.89556,KFLG
1403302105,FWS.FGZ.20140330.SECRE.01.20140330.210532.3165980532,28,155,455,15.0,15,11.176,-0.73,13.3,15.73,20.06333316,19.9362426758,16.4376334149,0.707633414906,11.523,1.43763341491,15.2846313477,16.2626307406,10.5426,-1.26263074059,34.95611,-111.89556,KFLG
1403291449,FWS.TWC.20140329.HOLLY.01.20140329.144950.4117486720,4,76,15,29.4444444444,7,2.68224,-0.58,27.8,7.58,4.62999996,26.559564209,9.60885521494,2.02885521494,4.33433,2.60885521494,27.9100891113,8.43868682941,3.68116,-1.43868682941,32.82797,-109.66545,KSAD
1403292101,FWS.FGZ.20140329.SECRE.01.20140329.210136.540906385,28,155,34,17.7777777778,17,4.4704,1.58,15.6,15.42,9.25999992,22.550012207,12.513281751,-2.90671824896,6.47483,-4.48671824896,18.5292602539,16.244654686,4.82413,0.755345314008,34.95608,-111.89556,KFLG
1403281928,FWS.PSR.20140328.PURGE.01.20140328.192838.2377906185,12,27,29,28.3333333333,17,3.57632,-1.0,28.3333333333,18.0,2.6802555324,,,,,,27.0192810059,22.9514579526,2.28784,-5.95145795261,32.63728,-114.77047,FTYA3
1403251841,FWS.REV.20140325.TODDM.01.20140325.184116.2516231364,17,-6,23,16.6666666667,14,6.7056,-8.0,13.8888888889,22.0,11.1737332368,,,,,,12.4251647949,28.2827189128,6.08482,-14.2827189128,38.88417,-119.83111,FISN2
1403212009,FWS.TWC.20140321.ROBER.01.20140321.200921.2797627259,35,132,22,26.6666666667,6,8.04672,0.94,25.6,5.06,9.25999992,,,,,,26.7120605469,6.63113178188,8.93792,-0.631131781882,31.33389,-109.26361,KDUG
1403212052,FWS.MTR.20140321.ENCIN.01.20140321.205244.80715467,32,86,78,16.1111111111,45,2.68224,-4.0,17.7777777778,49.0,6.2607888348,14.9960266113,60.1198271455,11.1198271455,6.423,15.1198271455,14.0866943359,60.87009057,5.24632,-15.87009057,36.66306,-121.43667,CAHC1
1403211626,FWS.LKN.20140321.SOUTH.01.20140321.162633.565478077,23,199,16,10.5555555556,22,36.65728,-7.0,8.88888888889,29.0,4.9180888464,5.7272277832,30.6186021255,1.61860212551,8.10681,8.61860212551,9.828515625,21.9841311305,3.46163,0.0158688695009,40.56611,-115.6075,CRSN2
1403211955,FWS.MTR.20140321.ENCIN.01.20140321.195513.746598499,32,86,21,16.1111111111,45,2.68224,-4.0,17.7777777778,49.0,6.2607888348,14.9960266113,60.1198271455,11.1198271455,6.423,15.1198271455,14.0866943359,60.87009057,5.24632,-15.87009057,36.66306,-121.43667,CAHC1
1403061631,FWS.PSR.20140306.COCOP.01.20140306.163121.3877861011,16,27,9,31.1111111111,13,3.57632,-6.0,30.0,19.0,2.6802555324,,,,,,30.9540039063,22.0363650432,1.76691,-9.03636504321,32.59556,-114.79944,FTYA3
1403051415,FWS.PSR.20140305.COCOP.01.20140305.141555.830801500,16,25,28,30.0,16,4.4704,1.0,31.1111111111,15.0,4.0229555208,,,,,,29.8982177734,19.883402141,2.5139,-3.88340214101,32.5958,-114.7996,FTYA3
1403041340,FWS.PSR.20140304.COCOP.01.20140304.134013.2986455127,16,25,8,28.3333333333,20,2.2352,-4.0,26.6666666667,24.0,4.0229555208,,,,,,26.8399902344,20.7243479059,2.92,-0.724347905927,32.5958,-114.7996,FTYA3
1402171529,FWS.PSR.20140217.FORTU.01.20140217.152902.3734914877,14,28,14,30.5555555556,12,3.57632,0.46,31.1,11.54,5.1444444,29.6980834961,12.3378747333,0.797874733332,2.33157,0.337874733332,31.0822998047,14.0388406698,3.16926,-2.03884066982,32.7235,-114.4617,KNYL
1401262139,FWS.PQR.20140126.GATES.01.20140126.213952.4286372279,16,9,32,19.4444444444,16,0.89408,-0.0,20.0,16.0,0.8951333256,12.2498413086,29.2671176303,13.2671176303,2.1,13.2671176303,,,,,44.70872,-122.30361,YEFO3
1401241854,FWS.MFR.20140124.BONEM.01.20140124.185433.4104413273,26,-276,19,15.0,21,2.68224,-0.0,21.6666666667,21.0,4.9180888464,15.4658752441,26.7496011401,5.74960114006,6.54261,5.74960114006,,,,,42.90361,-123.90917,LGPO3
1401241923,FWS.PQR.20140124.K200_.01.20140124.192353.1294706057,10,-105,44,17.2222222222,12,7.59968,-4.0,17.2222222222,16.0,1.7902666512,11.0213562012,46.7638146836,30.7638146836,6.22466,34.7638146836,,,,,44.538,-122.538,YEFO3
1401241632,FWS.PQR.20140124.CROOK.01.20140124.163237.832750380,14,-105,30,12.2222222222,15,6.7056,-1.0,17.2222222222,16.0,1.7902666512,10.0867553711,44.4470824681,28.4470824681,6.66083,29.4470824681,,,,,44.538,-122.268,YEFO3
1401241915,FWS.PQR.20140124.K200_.01.20140124.191556.2625943139,10,-105,36,17.2222222222,12,7.59968,-4.0,17.2222222222,16.0,1.7902666512,11.0213562012,46.7638146836,30.7638146836,6.22466,34.7638146836,,,,,44.538,-122.538,YEFO3
1401201608,FWS.EKA.20140120.ALLEN.01.20140120.160831.403657630,5,-203,14,21.6666666667,11,1.78816,-11.0,19.4444444444,22.0,0.0,17.5988098145,21.1013234735,-0.898676526467,2.70588,10.1013234735,,,,,40.26667,-123.38333,RLKC1
1401192111,FWS.EKA.20140119.ALLEN.01.20140119.211131.2243350085,5,-203,22,20.5555555556,12,2.68224,-1.0,21.1111111111,13.0,0.4475666628,17.4929443359,24.9350102246,11.9350102246,2.85189,12.9350102246,,,,,40.26667,-123.38333,RLKC1
1401180855,FWS.MTR.20140118.BOLIN.01.20140118.085511.1421574668,3,137,37,17.7777777778,22,4.4704,8.0,19.4444444444,14.0,5.3656555092,20.9891906738,24.7985081403,10.7985081403,2.39083,2.79850814029,,,,,37.95917,-122.63333,WDAC1
